school,name,fullname,lat,lon,metroTotal,otherTotal,miami
uAB,Alabama at Birmingham,University of Alabama at Birmingham,33.503198,-86.80396,76.8,23.2,0.558
uAlabama,Alabama,University of Alabama,33.214023,-87.539142,56.82,43.18,0.979
uAlbany,Albany,SUNY at Albany,42.68827,-73.819492,69.82,30.18,1.504
uAlbion ,Albion ,Albion College,42.244006,-84.745178,65.33,34.67,0.738
uAllegheny ,Allegheny ,Allegheny College,41.649349,-80.144949,75.48,24.52,0.802
uAmherst,Amherst,Amherst College,42.37091,-72.517003,64.56,35.44,0.333
uArizona,Arizona,University of Arizona,32.231885,-110.950109,83.16,16.84,0.697
uArkansas,Arkansas,University of Arkansas,36.067832,-94.173655,50.34,49.66,0.528
uASU,Arizona State,Arizona State University,34.412522,-109.410673,88.85,11.15,0.485
uAuburn,Auburn,Auburn University,32.593357,-85.495166,54.42,45.58,0.997
uAugustana,Augustana (Ill.),Augustana College Ill.,41.505105,-90.55071,66.29,33.71,0.295
uAustin,Austin,Austin College,33.64626,-96.594854,78.01,21.99,0.385
uBarnard,Barnard,Barnard College,40.809097,-73.963963,89.47,10.53,1.471
uBates,Bates,Bates College,44.105722,-70.202186,76.51,23.49,0.609
uBaylor,Baylor,Baylor University,31.549841,-97.114315,73.87,26.13,0.442
uBeloit,Beloit,Beloit College,42.503033,-89.030905,65.01,34.99,0.7
uBenedict,Saint Benedict,College of Saint Benedict,45.581304,-94.394288,40.52,59.48,0.426
uBerea,Berea,Berea College,37.575152,-84.288134,43.49,56.51,0.785
uBostonColl,Boston College,Boston College,42.335549,-71.168495,86.8,13.2,1.485
uBostonU,Boston U.,Boston University,42.3505,-71.105399,86.86,13.14,1.979
uBowdoin,Bowdoin,Bowdoin College,43.907011,-69.965236,83.75,16.25,0.77
uBrandeis,Brandeis,Brandeis University,42.364989,-71.258663,89.77,10.23,1.771
uBrown,Brown,Brown University,41.826772,-71.402548,87,13,1.144
uBrynMawr,Bryn Mawr,Bryn Mawr College,40.028107,-75.315234,80.4,19.6,0.872
uBucknell,Bucknell,Bucknell University,40.954687,-76.883551,77.39,22.61,0.671
uBuffalo,Buffalo,University at Buffalo,42.896922,-78.868521,82.5,17.5,1.707
uButler,Butler,Butler University,39.841124,-86.171191,82.22,17.78,0.681
uCalifornia,California,University of California-Berkeley,37.871899,-122.25854,87.74,12.26,0.541
uCaltech,Caltech,California Institute of Technology,34.137658,-118.125269,84.63,15.37,0.508
uCarleton,Carleton,Carleton College,44.461304,-93.156084,64.7,35.3,0.393
uCarnegie,Carnegie Mellon,Carnegie Mellon University,40.441318,-79.944229,88.49,11.51,0.87
uCaseWestern,Case Western Reserve,Case Western Reserve University,41.504341,-81.608384,80.13,19.87,1.2
uCentre,Centre,Centre College,37.645692,-84.781506,44.25,55.75,0.989
uCF,Central Florida,University of Central Florida,28.602427,-81.20006,79.17,20.83,7.206
uChicago,Chicago,University of Chicago,41.788608,-87.598713,87.44,12.56,0.931
uCincinnati,Cincinnati,University of Cincinnati,39.132922,-84.51495,85.6,14.4,0.676
uCLA,UCLA,University of California-Los Angeles,34.068921,-118.445181,89.99,10.01,0.557
uClaremontMcKenna,Claremont McKenna,Claremont McKenna College,34.101777,-117.707922,89.07,10.93,0.448
uClemson,Clemson,Clemson University,34.676094,-82.836415,66.47,33.53,0.742
uColby,Colby,Colby College,44.563869,-69.662636,77.67,22.33,0.615
uColgate,Colgate,Colgate University,42.816615,-75.540176,79.48,20.52,1.32
uColorado,Colorado,University of Colorado,40.007581,-105.265942,73.14,26.86,0.697
uColoradoCollege,Colorado College,Colorado College,38.846594,-104.824394,68.72,31.28,0.487
uColoradoSt,Colorado State,Colorado State University,40.573436,-105.086547,58.16,41.84,0.48
uColumbia,Columbia,Columbia University,40.807536,-73.962573,88.73,11.27,1.595
uConn,Uconn,University of Connecticut,41.807741,-72.253981,73.38,26.62,1.126
uConnCollege,Connecticut College,Connecticut College,41.378688,-72.104587,77.66,22.34,1.284
uCornell,Cornell,Cornell University,42.453449,-76.473503,75.92,24.08,1.77
uCornellC,Cornell (Iowa),Cornell College,41.926955,-91.42535,62.84,37.16,0.953
uCreighton,Creighton,Creighton University,41.265311,-95.947192,76.33,23.67,0.527
uCUNY,"CUNY, Graduate Center","City University of New York, Graduate Center",40.748449,-73.983492,85.45,14.55,1.238
uDartmouth,Dartmouth,Dartmouth College,43.704441,-72.288694,78.84,21.16,1.085
uDavidson,Davidson,Davidson College,35.501732,-80.846779,69.72,30.28,1.03
uDavis,UC Davis,University of California-Davis,38.536048,-121.749286,84.85,15.15,0.224
uDelaware,Delaware,University of Delaware,39.67795,-75.750611,85.55,14.45,0.941
uDenison,Denison,Denison University,40.073458,-82.522331,81.85,18.15,0.851
uDePaul,DePaul,DePaul University,41.925649,-87.654968,93.53,6.47,0.602
uDePauw,DePauw,DePauw University,39.639394,-86.862895,79.57,20.43,0.769
uDickinson,Dickinson,Dickinson College,40.202721,-77.197232,76.01,23.99,0.919
uDrew,Drew,Drew University,40.760567,-74.426977,84.31,15.69,1.033
uDuke,Duke,Duke University,36.001426,-78.938229,66.73,33.27,1.599
uElizabethtown,Elizabethtown,Elizabethtown College,40.150325,-76.589792,46.87,53.13,0.505
uElon,Elon,Elon University,36.102753,-79.502357,60.45,39.55,1.312
uEmory,Emory,Emory University,33.79252,-84.323999,83.44,16.56,2.222
uFIU,Florida International,Florida International University,25.756576,-80.373949,90.86,9.14,70.069
uFlorida,Florida,University of Florida,29.643633,-82.35493,66.87,33.13,13.676
uFM,Franklin & Marshall,Franklin & Marshall College,40.047526,-76.317902,75.92,24.08,1.297
uFSU,Florida State,Florida State University,30.441878,-84.298489,63.9,36.1,12.428
uFurman,Furman,Furman University,34.9237,-82.438269,71.4,28.6,1.263
uGaState,Georgia State,Georgia State University,33.753068,-84.385282,88.25,11.75,0.914
uGaTech,Georgia Tech,Georgia Institute of Technology,33.775618,-84.396285,82.23,17.77,1.452
uGeorgetown,Georgetown,Georgetown University,38.907609,-77.072258,87.77,12.23,1.697
uGeorgia,Georgia,University of Georgia,33.948005,-83.377322,67.73,32.27,0.891
uGettysburg,Gettysburg,Gettysburg College,39.834949,-77.232193,77.46,22.54,0.884
uGonzaga,Gonzaga,Gonzaga University,47.667189,-117.402385,62.31,37.69,0.319
uGustavus,Gustavus Adolphus,Gustavus Adolphus College,44.322162,-93.968777,42.5,57.5,0.329
uGWU,George Washington,George Washington University,38.899715,-77.048599,87.32,12.68,1.637
uHamilton,Hamilton,Hamilton College,43.052587,-75.405044,66.56,33.44,0.841
uHanover,Hanover,Hanover College,38.71925,-85.462368,70.51,29.49,0.904
uHarvard,Harvard,Harvard University,42.377003,-71.11666,84.15,15.85,1.745
uHaverford,Haverford,Haverford College,40.006652,-75.305318,87.18,12.82,0.641
uHawaii,Hawai'i,University of Hawaii,21.299186,-157.817198,81.81,18.19,0.736
uHobartWilliam,Hobart and William Smith,Hobart and William Smith Colleges,42.859153,-76.984487,80.29,19.71,1.142
uHolyCross,Holy Cross,College of the Holy Cross,42.239239,-71.807961,83.37,16.63,0.887
uHope,Hope,Hope College,42.78718,-86.102357,73.98,26.02,0.528
uHopkins,Johns Hopkins,Johns Hopkins University,39.329901,-76.620518,86.81,13.19,0.956
uHouston,Houston,University of Houston,29.719949,-95.342233,92.29,7.71,0.462
uIllinois,Illinois,University of Illinois,40.101952,-88.227161,75.31,24.69,0.655
uIllinoisChicago,Illinois at Chicago,University of Illinois at Chicago,41.87496,-87.658107,90.29,9.71,0.797
uIllinoisWesleyan,Illinois Wesleyan,Illinois Wesleyan University,40.490889,-88.990654,71.15,28.85,0.397
uIndiana,Indiana,Indiana University,39.16609,-86.526548,69.57,30.43,0.847
uIowa,Iowa,University of Iowa,41.662696,-91.5549,59.93,40.07,0.675
uIowaSt,Iowa State,Iowa State University,42.026619,-93.646465,59.5,40.5,0.382
